PlotTag,PlotGrid,UTM.Easting,UTM.Northing,"Transect No.",PlotRadiusm,PlotAreaha,Elevationm,Aspectdeg,Slopeper,FirstMeasured,SecondMeasured,ThirdMeasured,Time9505yr,Time0515yr,ElevB,foresttype
p001,Core,280000,4868400,800,12.62,0.05,470,166,21.8441583948544,1995,2005,2015,10,10,L,NH.high
p002,Core,280000,4868500,800,12.62,0.05,490,194,14.9451001349127,1995,2005,2015,10,10,L,NH.high
p003,Core,280000,4868700,800,12.62,0.05,570,192,34.4978496454214,1995,2005,2015,10,10,L,NH.wood
p005,Core,280000,4869000,800,12.62,0.05,590,50,13.1652497587395,1995,2005,2015,10,10,L,SF.spruce
p006,Core,280000,4869100,800,12.62,0.05,580,29,15.4411056927102,1995,2005,2015,10,10,L,NH.high
p007,Core,280000,4869300,800,12.62,0.05,565,67,11.7473001395629,1995,2005,2015,10,10,L,NH.wood
p008,Core,280000,4869400,800,12.62,0.05,580,72,17.4527938894365,1995,2005,2015,10,10,L,NH.wood
p009,Core,280000,4869600,800,12.62,0.05,580,194,19.297191103603,1995,2005,2015,10,10,L,SF.spruce
p010,Core,280000,4869700,800,12.62,0.05,595,198,9.80508572823969,1995,2005,2015,10,10,L,NH.high
p011,Core,280000,4869900,800,12.62,0.05,630,187,7.59705107501998,1995,2005,2015,10,10,M,NH.wood
p012,Core,280000,4870000,800,12.62,0.05,640,186,9.51148384142527,1995,2005,2015,10,10,M,NH.wood
p013,Core,280000,4870200,800,12.62,0.05,690,120,27.1069363618817,1995,2005,2015,10,10,M,NH.wood
p014,Core,280000,4870300,800,12.62,0.05,720,145,19.6393597528532,1995,2005,2015,10,10,H,NH.wood
p015,Core,280000,4870500,800,12.62,0.05,750,198,11.7473001395629,1995,2005,2015,10,10,H,SF.firbirch
p016,Core,279500,4870500,795,12.62,0.05,765,155,14.2024307747344,1995,2005,2015,10,10,H,NH.wood
p017,Core,279500,4870300,795,12.62,0.05,750,178,12.0816536020798,1995,2005,2015,10,10,H,NH.wood
p018,Core,279500,4870200,795,12.62,0.05,700,186,10.4516067920691,1995,2005,2015,10,10,M,NH.wood
p019,Core,279500,4870000,795,12.62,0.05,670,116,14.6874626703797,1995,2005,2015,10,10,M,NH.wood
p020,Core,279500,4869900,795,12.62,0.05,670,156,13.8761466839291,1995,2005,2015,10,10,M,SF.spruce
p021,Core,279500,4869700,795,12.62,0.05,655,102,20.5270520287448,1995,2005,2015,10,10,M,NH.wood
p022,Core,279500,4869600,795,12.62,0.05,675,98,12.9482950302069,1995,2005,2015,10,10,M,NH.wood
p023,Core,279500,4869400,795,12.62,0.05,640,224,6.15519312485761,1995,2005,2015,10,10,M,NH.wood
p024,Core,279500,4869300,795,12.62,0.05,630,249,7.72384234994304,1995,2005,2015,10,10,M,NH.wood
p025,Core,279500,4869100,795,12.62,0.05,620,25,3.63770591600794,1995,2005,2015,10,10,L,NH.wood
p026,Core,279500,4869000,795,12.62,0.05,620,180,8.7488663525924,1995,2005,2015,10,10,L,NH.wood
p027,Core,279500,4868800,795,12.62,0.05,555,152,8.16292848861025,1995,2005,2015,10,10,L,NH.wood
p028,Core,279500,4868700,795,12.62,0.05,540,196,22.7194425798742,1995,2005,2015,10,10,L,NH.high
p029,Core,279500,4868500,795,12.62,0.05,490,168,19.9214782415618,1995,2005,2015,10,10,L,NH.wood
p030,Core,279500,4868400,795,12.62,0.05,450,226,11.3935608301645,1995,2005,2015,10,10,L,NH.wood
p031,Core,279500,4868200,795,12.62,0.05,450,346,10.6280786168929,1995,2005,2015,10,10,L,NH.high
p032,Core,279500,4868100,795,12.62,0.05,490,340,30.7852461386653,1995,2005,2015,10,10,L,NH.wood
p033,Core,279500,4867900,795,12.62,0.05,565,4,35.7395613211714,1995,2005,2015,10,10,L,NH.wood
