PlotTag,Species4,SppCommon,DBHClass,DBHmid,StemCount,TotalSaplings,TotalSeedlings,SapAreaha,Species2,Year,TreeStatus,PlotGrid,UTM.Easting,UTM.Northing,"Transect No.",PlotRadiusm,PlotAreaha,Elevationm,Aspectdeg,Slopeper,FirstMeasured,SecondMeasured,ThirdMeasured,Time9505yr,Time0515yr,ElevB,foresttype
p001,FAGR,beech,0to2cm,1,1,2,0,0.0024,AB,1995,1,Core,280000,4868400,800,12.62,0.05,470,166,21.8441583948544,1995,2005,2015,10,10,L,NH.high
p001,ACSP,"mountain maple",0to2cm,1,1,1,1,0.0024,MM,1995,1,Core,280000,4868400,800,12.62,0.05,470,166,21.8441583948544,1995,2005,2015,10,10,L,NH.high
p001,ACSA,"sugar maple",0to2cm,1,2,2,13,0.0024,SM,1995,1,Core,280000,4868400,800,12.62,0.05,470,166,21.8441583948544,1995,2005,2015,10,10,L,NH.high
p001,ACPE,"striped maple",0to2cm,1,2,3,2,0.0024,STM,1995,1,Core,280000,4868400,800,12.62,0.05,470,166,21.8441583948544,1995,2005,2015,10,10,L,NH.high
p001,UNKN,unknown,0to2cm,1,0,0,1,0.0024,UK,1995,1,Core,280000,4868400,800,12.62,0.05,470,166,21.8441583948544,1995,2005,2015,10,10,L,NH.high
p002,FAGR,beech,0to2cm,1,1,1,1,0.0024,AB,1995,1,Core,280000,4868500,800,12.62,0.05,490,194,14.9451001349127,1995,2005,2015,10,10,L,NH.high
p002,ACSP,"mountain maple",0to2cm,1,0,0,6,0.0024,MM,1995,1,Core,280000,4868500,800,12.62,0.05,490,194,14.9451001349127,1995,2005,2015,10,10,L,NH.high
p002,PIRU,"red spruce",0to2cm,1,0,2,0,0.0024,RS,1995,1,Core,280000,4868500,800,12.62,0.05,490,194,14.9451001349127,1995,2005,2015,10,10,L,NH.high
p002,ACSA,"sugar maple",0to2cm,1,0,0,1,0.0024,SM,1995,1,Core,280000,4868500,800,12.62,0.05,490,194,14.9451001349127,1995,2005,2015,10,10,L,NH.high
p002,ACPE,"striped maple",0to2cm,1,2,2,1,0.0024,STM,1995,1,Core,280000,4868500,800,12.62,0.05,490,194,14.9451001349127,1995,2005,2015,10,10,L,NH.high
p003,FAGR,beech,0to2cm,1,2,2,0,0.0024,AB,1995,1,Core,280000,4868700,800,12.62,0.05,570,192,34.4978496454214,1995,2005,2015,10,10,L,NH.wood
p003,ACPE,"striped maple",0to2cm,1,1,1,1,0.0024,STM,1995,1,Core,280000,4868700,800,12.62,0.05,570,192,34.4978496454214,1995,2005,2015,10,10,L,NH.wood
p005,FAGR,beech,0to2cm,1,0,0,2,0.0024,AB,1995,1,Core,280000,4869000,800,12.62,0.05,590,50,13.1652497587395,1995,2005,2015,10,10,L,SF.spruce
p005,ABBA,"balsam fir",0to2cm,1,0,1,0,0.0024,BF,1995,1,Core,280000,4869000,800,12.62,0.05,590,50,13.1652497587395,1995,2005,2015,10,10,L,SF.spruce
