PlotTag,Species4,SppCommon,DBH,CrownStatus,TreeStatus,Year,PlotGrid,UTM.Easting,UTM.Northing,Transect No.,PlotRadiusm,PlotAreaha,SapAreaha,Elevationm,Aspectdeg,Slopeper,FirstMeasured,SecondMeasured,ThirdMeasured,Time9505yr,Time0515yr,ElevB,foresttype
p001,ACSA,sugar maple,4.1,NA,1,2005,Core,280000,4868400,800,12.62,0.05,0.005048,470,166,21.84415839,1995,2005,2015,10,10,L,NH.high
p001,ACSA,sugar maple,4.5,NA,1,2005,Core,280000,4868400,800,12.62,0.05,0.005048,470,166,21.84415839,1995,2005,2015,10,10,L,NH.high
p001,ABBA,balsam fir,2.3,NA,1,2005,Core,280000,4868400,800,12.62,0.05,0.005048,470,166,21.84415839,1995,2005,2015,10,10,L,NH.high
p001,ACSA,sugar maple,6.1,NA,1,2005,Core,280000,4868400,800,12.62,0.05,0.005048,470,166,21.84415839,1995,2005,2015,10,10,L,NH.high
p001,PIRU,red spruce,3.8,NA,1,2005,Core,280000,4868400,800,12.62,0.05,0.005048,470,166,21.84415839,1995,2005,2015,10,10,L,NH.high
p001,PIRU,red spruce,2.6,NA,1,2005,Core,280000,4868400,800,12.62,0.05,0.005048,470,166,21.84415839,1995,2005,2015,10,10,L,NH.high
p001,ACSA,sugar maple,2,NA,1,2005,Core,280000,4868400,800,12.62,0.05,0.005048,470,166,21.84415839,1995,2005,2015,10,10,L,NH.high
p001,PIRU,red spruce,4,NA,1,2005,Core,280000,4868400,800,12.62,0.05,0.005048,470,166,21.84415839,1995,2005,2015,10,10,L,NH.high
p002,PIRU,red spruce,5.1,NA,1,2005,Core,280000,4868500,800,12.62,0.05,0.005048,490,194,14.94510013,1995,2005,2015,10,10,L,NH.high
p002,PIRU,red spruce,3,NA,1,2005,Core,280000,4868500,800,12.62,0.05,0.005048,490,194,14.94510013,1995,2005,2015,10,10,L,NH.high
p002,FAGR,beech,8.7,NA,1,2005,Core,280000,4868500,800,12.62,0.05,0.005048,490,194,14.94510013,1995,2005,2015,10,10,L,NH.high
p003,FAGR,beech,3.3,NA,1,2005,Core,280000,4868700,800,12.62,0.05,0.005048,570,192,34.49784965,1995,2005,2015,10,10,L,NH.wood
