TreeID,FirstObs,PlotTag,Tag_15_current,Species_BEST_15,DBH_95,CrownStatus_95,TreeStatus_95,DBH_05,CrownStatus_05,TreeStatus_05,DBH_15,CrownStatus_15,TreeStatus_15,BBD_15,Time9505yr,Time0515yr,PlotAreaha,ElevB,Species4,SppCommon,Species2,Type,BIG5,YrRecruit
1_1,First,p001,t0001,YB,80.7,D,1,80.7,D,1,83,D,1,NA,10,10,0.05,L,BEAL,"yellow birch",YB,Hardwood,1,1995
1_2,First,p001,t0002,YB,12.3,NA,4,12.2,NA,5,NA,NA,6,NF2,10,10,0.05,L,BEAL,"yellow birch",YB,Hardwood,1,NA
1_3,First,p001,t0003,YB,22.7,S,1,24.1,I,1,26.2,I,1,NA,10,10,0.05,L,BEAL,"yellow birch",YB,Hardwood,1,1995
1_4,First,p001,t10599,WA,52.7,C,1,55,D,1,56.2,D,1,NA,10,10,0.05,L,FRAM,"white ash",WA,Hardwood,0,1995
1_5,First,p001,t0005,SM,12.2,S,1,13.9,I,1,15.9,I,1,NA,10,10,0.05,L,ACSA,"sugar maple",SM,Hardwood,1,1995
1_6,First,p001,t0006,YB,28.4,C,1,28.8,C,1,30.3,C,1,NA,10,10,0.05,L,BEAL,"yellow birch",YB,Hardwood,1,1995
1_7,First,p001,t0007,YB,24.9,S,1,23.8,I,1,25.2,I,1,NA,10,10,0.05,L,BEAL,"yellow birch",YB,Hardwood,1,1995
1_8,First,p001,t0008,RS,14.2,S,1,14.9,S,1,15,S,1,NA,10,10,0.05,L,PIRU,"red spruce",RS,Conifer,1,1995
1_9,First,p001,t0009,YB,31.4,C,1,31.9,C,1,32.4,NA,4,NA,10,10,0.05,L,BEAL,"yellow birch",YB,Hardwood,1,1995
1_10,First,p001,t0010,YB,10.5,S,1,10.7,S,3,10.3,NA,5,NA,10,10,0.05,L,BEAL,"yellow birch",YB,Hardwood,1,1995
1_11,First,p001,t0011,YB,19.2,I,1,21.5,C,1,22.9,C,1,NA,10,10,0.05,L,BEAL,"yellow birch",YB,Hardwood,1,1995
1_12,First,p001,t0012,AB,11.4,S,1,13.6,I,1,15.4,I,1,1,10,10,0.05,L,FAGR,beech,AB,Hardwood,1,1995
1_13,First,p001,t0013,YB,40.8,C,1,44,C,1,46.2,C,1,NA,10,10,0.05,L,BEAL,"yellow birch",YB,Hardwood,1,1995
1_14,First,p001,t0014,YB,15.9,S,1,16.3,NA,5,16.1,NA,5,NA,10,10,0.05,L,BEAL,"yellow birch",YB,Hardwood,1,1995
1_15,First,p001,t0015,RS,10,S,1,10.8,S,1,11.1,S,1,NA,10,10,0.05,L,PIRU,"red spruce",RS,Conifer,1,1995
1_16,First,p001,t0016,RS,11.7,NA,4,11.7,NA,6,NA,NA,NA,NA,10,10,0.05,L,PIRU,"red spruce",RS,Conifer,1,NA
1_17,First,p001,t0017,RS,20.7,S,1,21.4,I,1,22,I,1,NA,10,10,0.05,L,PIRU,"red spruce",RS,Conifer,1,1995
1_18,First,p001,t0018,AB,12,S,1,12.5,S,1,12.9,S,1,2,10,10,0.05,L,FAGR,beech,AB,Hardwood,1,1995
1_19,First,p001,t0019,YB,62.2,C,1,65.4,D,1,67,D,1,NA,10,10,0.05,L,BEAL,"yellow birch",YB,Hardwood,1,1995
1_20,First,p001,t0020,AB,16.8,S,1,18.6,I,1,21.2,I,1,2,10,10,0.05,L,FAGR,beech,AB,Hardwood,1,1995
1_21,First,p001,t0021,AB,13.2,S,1,14.9,I,1,16.8,I,1,1,10,10,0.05,L,FAGR,beech,AB,Hardwood,1,1995
1_22,Second,p001,t10066,AB,NA,NA,NA,12,I,1,13.7,I,1,1,10,10,0.05,L,FAGR,beech,AB,Hardwood,1,2005
1_23,Second,p001,t10067,AB,NA,NA,NA,11.3,S,1,13.5,I,1,NA,10,10,0.05,L,FAGR,beech,AB,Hardwood,1,2005
1_24,Second,p001,t10068,RS,NA,NA,NA,10.6,S,1,11.3,S,2,NA,10,10,0.05,L,PIRU,"red spruce",RS,Conifer,1,2005
1_25,First,p002,t0022,AB,31.4,I,1,31.9,NA,5,NA,NA,6,NF1,10,10,0.05,L,FAGR,beech,AB,Hardwood,1,1995
1_26,First,p002,t0023,AB,37.6,C,1,37.6,I,1,37.2,NA,4,NA,10,10,0.05,L,FAGR,beech,AB,Hardwood,1,1995
1_27,First,p002,t0024,YB,56,C,1,56.1,C,1,58.7,D,1,NA,10,10,0.05,L,BEAL,"yellow birch",YB,Hardwood,1,1995
1_28,First,p002,t0025,YB,20,S,1,19.1,NA,5,18.8,NA,5,NA,10,10,0.05,L,BEAL,"yellow birch",YB,Hardwood,1,1995
1_29,First,p002,t0026,YB,30.5,I,1,31.5,C,1,34.3,C,1,NA,10,10,0.05,L,BEAL,"yellow birch",YB,Hardwood,1,1995
1_30,First,p002,t0027,YB,34.3,I,1,35.5,C,1,36.8,C,1,NA,10,10,0.05,L,BEAL,"yellow birch",YB,Hardwood,1,1995
1_31,First,p002,t0028,YB,27.4,I,1,29.9,C,1,32.7,C,1,NA,10,10,0.05,L,BEAL,"yellow birch",YB,Hardwood,1,1995
1_32,First,p002,t0029,BF,10.8,S,1,13,S,1,14.4,S,1,NA,10,10,0.05,L,ABBA,"balsam fir",BF,Conifer,1,1995
1_33,First,p002,t0030,AB,30.9,S,1,30.9,NA,6,NA,NA,NA,NA,10,10,0.05,L,FAGR,beech,AB,Hardwood,1,1995
1_34,First,p002,t0031,AB,23.9,I,1,23.9,NA,6,NA,NA,NA,NA,10,10,0.05,L,FAGR,beech,AB,Hardwood,1,1995
1_35,First,p002,t0032,RS,14.4,NA,4,14.4,NA,6,NA,NA,NA,NA,10,10,0.05,L,PIRU,"red spruce",RS,Conifer,1,NA
1_36,First,p002,t0033,RS,33.2,C,1,35.8,C,1,38.3,D,1,NA,10,10,0.05,L,PIRU,"red spruce",RS,Conifer,1,1995
1_37,First,p002,t0034,RS,19,S,1,19.1,S,1,19.2,S,1,NA,10,10,0.05,L,PIRU,"red spruce",RS,Conifer,1,1995
1_38,First,p002,t0035,RS,30,C,1,31,C,2,NA,NA,6,NF1,10,10,0.05,L,PIRU,"red spruce",RS,Conifer,1,1995
1_39,First,p002,t0036,SM,15.5,I,1,17.9,I,1,20.4,I,1,NA,10,10,0.05,L,ACSA,"sugar maple",SM,Hardwood,1,1995
1_40,First,p002,t0037,RS,25.9,NA,4,25.9,NA,6,NA,NA,NA,NA,10,10,0.05,L,PIRU,"red spruce",RS,Conifer,1,NA
1_41,First,p002,t0038,RS,28.6,D,1,31.2,C,1,33.5,C,1,NA,10,10,0.05,L,PIRU,"red spruce",RS,Conifer,1,1995
1_42,First,p002,t10525,RS,30.4,NA,5,30.2,NA,5,28.9,NA,5,NA,10,10,0.05,L,PIRU,"red spruce",RS,Conifer,1,NA
1_43,First,p002,t0040,YB,73.2,NA,4,73.2,NA,5,NA,NA,6,NF2,10,10,0.05,L,BEAL,"yellow birch",YB,Hardwood,1,NA
1_44,First,p002,t0041,RS,31.3,C,1,33.6,C,1,35.5,D,1,NA,10,10,0.05,L,PIRU,"red spruce",RS,Conifer,1,1995
1_45,First,p002,t0042,YB,24.7,C,1,25.6,I,1,27.3,C,1,NA,10,10,0.05,L,BEAL,"yellow birch",YB,Hardwood,1,1995
1_46,First,p002,t0043,RS,24,NA,4,24,NA,6,NA,NA,NA,NA,10,10,0.05,L,PIRU,"red spruce",RS,Conifer,1,NA
1_47,First,p002,t0044,YB,22,S,1,22,NA,6,NA,NA,NA,NA,10,10,0.05,L,BEAL,"yellow birch",YB,Hardwood,1,1995
1_48,First,p002,t0045,RS,14.3,S,1,14.8,S,1,14.5,S,1,NA,10,10,0.05,L,PIRU,"red spruce",RS,Conifer,1,1995
1_49,First,p002,t0046,YB,27.5,C,1,27.5,S,2,27.9,NA,5,NA,10,10,0.05,L,BEAL,"yellow birch",YB,Hardwood,1,1995
1_50,First,p002,t0047,YB,34.8,C,1,35.8,I,1,37.3,C,1,NA,10,10,0.05,L,BEAL,"yellow birch",YB,Hardwood,1,1995
1_51,First,p002,t0048,RS,33.8,C,1,35.2,C,1,37.4,C,1,NA,10,10,0.05,L,PIRU,"red spruce",RS,Conifer,1,1995
1_52,First,p002,t0049,RS,10.9,S,1,11,S,1,11.6,S,2,NA,10,10,0.05,L,PIRU,"red spruce",RS,Conifer,1,1995
1_53,First,p002,t0050,RS,21.9,S,1,22.7,I,1,22.2,I,1,NA,10,10,0.05,L,PIRU,"red spruce",RS,Conifer,1,1995
1_54,First,p002,t0051,YB,16,S,1,16.2,NA,4,15.9,NA,5,NA,10,10,0.05,L,BEAL,"yellow birch",YB,Hardwood,1,1995
1_55,First,p002,t0052,YB,27.6,I,1,29.2,C,1,31.2,C,1,NA,10,10,0.05,L,BEAL,"yellow birch",YB,Hardwood,1,1995
1_56,Second,p002,t10069,SM,NA,NA,NA,11,S,1,10.9,NA,5,NA,10,10,0.05,L,ACSA,"sugar maple",SM,Hardwood,1,2005
1_57,Second,p002,t10070,AB,NA,NA,NA,10.6,I,1,12.1,I,1,2,10,10,0.05,L,FAGR,beech,AB,Hardwood,1,2005
1_58,Second,p002,t10071,RS,NA,NA,NA,12.5,S,2,NA,NA,6,NF1,10,10,0.05,L,PIRU,"red spruce",RS,Conifer,1,2005
1_59,Second,p002,t10072,YB,12.96362,NA,1,14.2,I,1,14.7,I,1,NA,10,10,0.05,L,BEAL,"yellow birch",YB,Hardwood,1,1995
1_60,First,p003,t0053,SM,20.9,NA,5,22.5,NA,5,NA,NA,6,NF2,10,10,0.05,L,ACSA,"sugar maple",SM,Hardwood,1,NA
1_61,First,p003,t10450,AB,28.5,C,1,28.5,C,1,30.3,C,1,NA,10,10,0.05,L,FAGR,beech,AB,Hardwood,1,1995
1_62,First,p003,t0055,RS,19.3,NA,4,19.3,NA,6,NA,NA,6,NA,10,10,0.05,L,PIRU,"red spruce",RS,Conifer,1,NA
1_63,First,p003,t0056,YB,12.9,S,1,13.7,I,1,16.7,I,1,NA,10,10,0.05,L,BEAL,"yellow birch",YB,Hardwood,1,1995
1_64,First,p003,t0057,AB,20.3,I,1,22.7,I,1,24.7,C,2,3,10,10,0.05,L,FAGR,beech,AB,Hardwood,1,1995
1_65,First,p003,t0058,SM,30.3,I,1,31.5,C,1,31.7,C,2,NA,10,10,0.05,L,ACSA,"sugar maple",SM,Hardwood,1,1995
1_66,First,p003,t0059,STM,10.7,S,1,10.7,NA,6,NA,NA,NA,NA,10,10,0.05,L,ACPE,"striped maple",STM,Hardwood,0,1995
1_67,First,p003,t0060,RS,17,S,1,17.1,S,1,18,S,1,NA,10,10,0.05,L,PIRU,"red spruce",RS,Conifer,1,1995
1_68,First,p003,t0061,YB,48.7,C,1,48.7,C,1,49.9,D,1,NA,10,10,0.05,L,BEAL,"yellow birch",YB,Hardwood,1,1995
1_69,First,p003,t0062,YB,24,I,1,25.6,C,1,27.4,C,1,NA,10,10,0.05,L,BEAL,"yellow birch",YB,Hardwood,1,1995
1_70,First,p003,t0063,AB,24.4,I,1,28.9,C,1,33.5,C,1,3,10,10,0.05,L,FAGR,beech,AB,Hardwood,1,1995
1_71,First,p003,t0064,YB,27.6,NA,5,27.6,NA,5,NA,NA,6,NF2,10,10,0.05,L,BEAL,"yellow birch",YB,Hardwood,1,NA
1_72,First,p003,t0065,AB,31.1,I,1,31.8,NA,5,NA,NA,6,NF2,10,10,0.05,L,FAGR,beech,AB,Hardwood,1,1995
1_73,First,p003,t0066,AB,15,I,1,16.5,C,2,NA,NA,6,NF1,10,10,0.05,L,FAGR,beech,AB,Hardwood,1,1995
1_74,First,p003,t0067,YB,13.8,S,1,15.4,S,1,16.7,S,1,NA,10,10,0.05,L,BEAL,"yellow birch",YB,Hardwood,1,1995
1_75,First,p003,t0068,AB,11.6,S,1,13,S,1,19,S,1,2,10,10,0.05,L,FAGR,beech,AB,Hardwood,1,1995
1_76,First,p003,t0069,AB,11.5,S,1,12.5,S,1,13.5,S,1,2,10,10,0.05,L,FAGR,beech,AB,Hardwood,1,1995
1_77,First,p003,t0070,YB,36.1,I,1,37.4,C,1,39.5,C,1,NA,10,10,0.05,L,BEAL,"yellow birch",YB,Hardwood,1,1995
1_78,First,p003,t0071,AB,17.9,I,1,19.2,I,1,20.3,I,1,2,10,10,0.05,L,FAGR,beech,AB,Hardwood,1,1995
1_79,First,p003,t0072,YB,30.7,C,1,33.6,C,3,36.5,C,2,NA,10,10,0.05,L,BEAL,"yellow birch",YB,Hardwood,1,1995
1_80,First,p003,t10531,YB,54.8,C,1,55.8,C,1,58.2,C,1,NA,10,10,0.05,L,BEAL,"yellow birch",YB,Hardwood,1,1995
1_81,First,p003,t0074,AB,27.7,I,1,28.8,C,1,29.4,C,1,2,10,10,0.05,L,FAGR,beech,AB,Hardwood,1,1995
1_82,First,p003,t0075,AB,10.3,S,1,12.4,S,1,13.8,I,1,1,10,10,0.05,L,FAGR,beech,AB,Hardwood,1,1995
1_83,First,p003,t0076,AB,26.5,C,1,30,C,3,32.8,C,1,1,10,10,0.05,L,FAGR,beech,AB,Hardwood,1,1995
1_84,First,p003,t0077,AB,46.1,C,1,46.9,S,3,47.5,S,3,NA,10,10,0.05,L,FAGR,beech,AB,Hardwood,1,1995
1_85,Second,p003,t10073,AB,NA,NA,NA,10.7,S,1,12,S,1,2,10,10,0.05,L,FAGR,beech,AB,Hardwood,1,2005
1_86,Second,p003,t10074,AB,NA,NA,NA,10.3,S,1,11.6,I,1,1,10,10,0.05,L,FAGR,beech,AB,Hardwood,1,2005
1_87,Second,p003,t10075,STM,NA,NA,NA,10,I,1,13.2,I,1,NA,10,10,0.05,L,ACPE,"striped maple",STM,Hardwood,0,2005
1_88,First,p005,t0078,RS,18.4,I,1,18.4,NA,5,NA,NA,6,NF1,10,10,0.05,L,PIRU,"red spruce",RS,Conifer,1,1995
1_89,First,p005,t0079,RS,30.6,C,1,32.7,D,1,36.3,C,1,NA,10,10,0.05,L,PIRU,"red spruce",RS,Conifer,1,1995
1_90,First,p005,t0080,RS,29.7,C,1,31.1,D,1,32.8,NA,5,NA,10,10,0.05,L,PIRU,"red spruce",RS,Conifer,1,1995
1_91,First,p005,t10530,BF,11.5,S,1,14.7,S,1,19.5,S,3,NA,10,10,0.05,L,ABBA,"balsam fir",BF,Conifer,1,1995
1_92,First,p005,t0082,RS,15.2,I,1,15.6,C,1,NA,NA,6,NF1,10,10,0.05,L,PIRU,"red spruce",RS,Conifer,1,1995
1_93,First,p005,t0083,PB,17.3,I,1,18.4,C,1,18.3,NA,4,NA,10,10,0.05,L,BEPA,"paper birch",PB,Hardwood,0,1995
1_94,First,p005,t0084,RS,10.2,S,1,10.1,S,4,NA,NA,6,NF1,10,10,0.05,L,PIRU,"red spruce",RS,Conifer,1,1995
1_95,First,p005,t0085,BF,10.5,S,1,11.6,S,1,13.4,S,1,NA,10,10,0.05,L,ABBA,"balsam fir",BF,Conifer,1,1995
1_96,First,p005,t0086,PB,15.7,I,1,16,I,1,16.1,NA,5,NA,10,10,0.05,L,BEPA,"paper birch",PB,Hardwood,0,1995
1_97,First,p005,t0087,PB,13.1,S,1,12.7,NA,4,12.4,NA,5,NA,10,10,0.05,L,BEPA,"paper birch",PB,Hardwood,0,1995
1_98,First,p005,t0088,PB,15.4,S,1,15.7,S,1,16.1,S,1,NA,10,10,0.05,L,BEPA,"paper birch",PB,Hardwood,0,1995
1_99,First,p005,t0089,PB,13.7,I,1,15.2,NA,4,NA,NA,5,NA,10,10,0.05,L,BEPA,"paper birch",PB,Hardwood,0,1995
1_100,First,p005,t0090,RM,20.5,NA,4,20.5,NA,5,NA,NA,6,NF2,10,10,0.05,L,ACRU,"red maple",RM,Hardwood,0,NA
1_101,First,p005,t0091,RM,26.1,I,1,26.5,C,1,30.1,C,1,NA,10,10,0.05,L,ACRU,"red maple",RM,Hardwood,0,1995
1_102,First,p005,t0092,RM,18.7,NA,4,18,NA,6,NA,NA,NA,NA,10,10,0.05,L,ACRU,"red maple",RM,Hardwood,0,NA
1_103,First,p005,t0093,RM,17.4,C,1,19.1,C,1,26,C,1,NA,10,10,0.05,L,ACRU,"red maple",RM,Hardwood,0,1995
1_104,First,p005,t0094,RM,22.7,NA,4,22.5,NA,5,24.9,NA,5,NA,10,10,0.05,L,ACRU,"red maple",RM,Hardwood,0,NA
1_105,First,p005,t0095,RM,26.2,C,1,28.6,C,1,32.1,C,1,NA,10,10,0.05,L,ACRU,"red maple",RM,Hardwood,0,1995
1_106,First,p005,t0096,RS,30,D,1,32.5,C,1,36.5,D,1,NA,10,10,0.05,L,PIRU,"red spruce",RS,Conifer,1,1995
1_107,First,p005,t0097,RS,16,S,1,16.3,S,1,16.9,I,1,NA,10,10,0.05,L,PIRU,"red spruce",RS,Conifer,1,1995
1_108,First,p005,t0098,RS,16.9,S,1,17.2,I,1,18.3,S,2,NA,10,10,0.05,L,PIRU,"red spruce",RS,Conifer,1,1995
1_109,First,p005,t0099,YB,44.8,I,1,46.1,D,1,46.7,C,1,NA,10,10,0.05,L,BEAL,"yellow birch",YB,Hardwood,1,1995
1_110,First,p005,t0100,RS,34.4,C,1,35.5,C,2,35.7,C,1,NA,10,10,0.05,L,PIRU,"red spruce",RS,Conifer,1,1995
1_111,First,p005,t0101,RS,19.8,I,1,20.4,I,1,21.5,I,1,NA,10,10,0.05,L,PIRU,"red spruce",RS,Conifer,1,1995
1_112,First,p005,t0102,RS,15.4,S,1,15.9,I,1,16,I,1,NA,10,10,0.05,L,PIRU,"red spruce",RS,Conifer,1,1995
1_113,First,p005,t0103,PB,15,S,1,15.3,I,1,15.3,NA,5,NA,10,10,0.05,L,BEPA,"paper birch",PB,Hardwood,0,1995
1_114,First,p005,t0104,RS,17.7,S,1,18.1,I,1,18.2,I,2,NA,10,10,0.05,L,PIRU,"red spruce",RS,Conifer,1,1995
1_115,First,p005,t0105,RS,25.6,C,1,27.3,C,1,29.7,C,1,NA,10,10,0.05,L,PIRU,"red spruce",RS,Conifer,1,1995
1_116,First,p005,t0106,RS,13,NA,4,13,NA,6,NA,NA,NA,NA,10,10,0.05,L,PIRU,"red spruce",RS,Conifer,1,NA
1_117,First,p005,t0107,RS,28.7,C,1,30.6,C,1,32.5,C,1,NA,10,10,0.05,L,PIRU,"red spruce",RS,Conifer,1,1995
1_118,First,p005,t0108,RS,16.7,S,1,17.5,I,1,18.9,I,1,NA,10,10,0.05,L,PIRU,"red spruce",RS,Conifer,1,1995
1_119,First,p005,t0109,RM,29.6,C,1,31.8,C,1,36.8,C,1,NA,10,10,0.05,L,ACRU,"red maple",RM,Hardwood,0,1995
1_120,First,p005,t0110,RM,19.5,S,1,21,C,1,23.9,C,1,NA,10,10,0.05,L,ACRU,"red maple",RM,Hardwood,0,1995
1_121,First,p005,t0111,RS,29.4,C,1,29.4,NA,5,29.3,NA,4,NA,10,10,0.05,L,PIRU,"red spruce",RS,Conifer,1,1995
1_122,First,p005,t0112,RS,15.3,S,1,15.9,C,3,16.5,C,2,NA,10,10,0.05,L,PIRU,"red spruce",RS,Conifer,1,1995
1_123,First,p005,t0113,RS,33.1,C,1,34.9,C,1,38.8,C,1,NA,10,10,0.05,L,PIRU,"red spruce",RS,Conifer,1,1995
1_124,First,p005,t0114,RS,13.6,S,1,14.1,C,1,15.6,C,2,NA,10,10,0.05,L,PIRU,"red spruce",RS,Conifer,1,1995
1_125,First,p005,t0115,RS,31.5,C,1,33.5,C,1,35.7,C,1,NA,10,10,0.05,L,PIRU,"red spruce",RS,Conifer,1,1995
1_126,First,p005,t0116,RS,30.2,C,1,30.4,C,1,31.6,C,1,NA,10,10,0.05,L,PIRU,"red spruce",RS,Conifer,1,1995
1_127,First,p005,t0117,RS,12.2,S,1,12.6,S,1,13.7,I,1,NA,10,10,0.05,L,PIRU,"red spruce",RS,Conifer,1,1995
1_128,First,p005,t0118,RS,17.1,C,1,17.3,C,1,17.5,C,2,NA,10,10,0.05,L,PIRU,"red spruce",RS,Conifer,1,1995
1_129,First,p005,t0119,RS,16,C,1,16.7,C,1,17.5,C,1,NA,10,10,0.05,L,PIRU,"red spruce",RS,Conifer,1,1995
1_130,First,p005,t0120,RS,13.3,NA,5,13.3,NA,6,NA,NA,NA,NA,10,10,0.05,L,PIRU,"red spruce",RS,Conifer,1,NA
1_131,First,p005,t0121,RS,19,C,1,21.6,C,1,22.5,C,1,NA,10,10,0.05,L,PIRU,"red spruce",RS,Conifer,1,1995
1_132,First,p005,t0122,BF,14.2,NA,5,14.2,NA,6,NA,NA,NA,NA,10,10,0.05,L,ABBA,"balsam fir",BF,Conifer,1,NA
1_133,First,p005,t0123,BF,19.9,C,1,19.9,NA,6,NA,NA,NA,NA,10,10,0.05,L,ABBA,"balsam fir",BF,Conifer,1,1995
1_134,First,p005,t0124,RS,25.1,C,1,27.2,C,1,29.1,C,1,NA,10,10,0.05,L,PIRU,"red spruce",RS,Conifer,1,1995
1_135,First,p005,t0125,RS,11,S,1,11.8,S,1,11.5,I,1,NA,10,10,0.05,L,PIRU,"red spruce",RS,Conifer,1,1995
1_136,First,p005,t0126,RS,24.9,C,1,27,D,1,31.4,D,1,NA,10,10,0.05,L,PIRU,"red spruce",RS,Conifer,1,1995
1_137,First,p005,t0127,RS,30.1,C,1,32.1,C,1,34.8,C,1,NA,10,10,0.05,L,PIRU,"red spruce",RS,Conifer,1,1995
1_138,First,p005,t0128,RS,19.1,NA,5,19.1,NA,5,NA,NA,6,NF2,10,10,0.05,L,PIRU,"red spruce",RS,Conifer,1,NA
1_139,First,p005,t0129,SM,20.2,S,1,20.2,NA,6,NA,NA,NA,NA,10,10,0.05,L,ACSA,"sugar maple",SM,Hardwood,1,1995
1_140,First,p005,t0130,BF,10.9,S,1,13,S,1,15.9,S,1,NA,10,10,0.05,L,ABBA,"balsam fir",BF,Conifer,1,1995
1_141,First,p005,t0131,RS,29.8,C,1,29.8,NA,5,29.2,NA,5,NA,10,10,0.05,L,PIRU,"red spruce",RS,Conifer,1,1995
1_142,Second,p005,t10086,BF,NA,NA,NA,10.6,S,1,13.3,S,3,NA,10,10,0.05,L,ABBA,"balsam fir",BF,Conifer,1,2005
1_143,Second,p005,t10088,RS,NA,NA,NA,11.1,S,1,10.8,NA,4,NA,10,10,0.05,L,PIRU,"red spruce",RS,Conifer,1,2005
1_144,Second,p005,t10089,RS,NA,NA,NA,12.8,I,1,13,I,1,NA,10,10,0.05,L,PIRU,"red spruce",RS,Conifer,1,2005
1_145,Second,p005,t10090,RS,19.20386,NA,1,20.6,C,1,22.3,C,1,NA,10,10,0.05,L,PIRU,"red spruce",RS,Conifer,1,1995
1_146,First,p006,t0132,BF,13.4,S,1,15.4,I,1,17.7,I,1,NA,10,10,0.05,L,ABBA,"balsam fir",BF,Conifer,1,1995
1_147,First,p006,t10541,YB,33.8,C,1,36.9,C,1,40.1,C,1,NA,10,10,0.05,L,BEAL,"yellow birch",YB,Hardwood,1,1995
1_148,First,p006,t0134,YB,32.4,C,1,34.7,NA,5,35.4,NA,5,NA,10,10,0.05,L,BEAL,"yellow birch",YB,Hardwood,1,1995
1_149,First,p006,t0135,SM,19.1,I,1,19.6,I,1,21.7,C,1,NA,10,10,0.05,L,ACSA,"sugar maple",SM,Hardwood,1,1995
1_150,First,p006,t0136,AB,28.1,I,1,30.3,D,1,32.1,D,1,2,10,10,0.05,L,FAGR,beech,AB,Hardwood,1,1995
1_151,First,p006,t0137,SM,15.9,NA,5,15.9,NA,6,NA,NA,NA,NA,10,10,0.05,L,ACSA,"sugar maple",SM,Hardwood,1,NA
1_152,First,p006,t0138,AB,18.6,I,1,23,C,1,37.3,C,1,1,10,10,0.05,L,FAGR,beech,AB,Hardwood,1,1995
1_153,First,p006,t0139,YB,27.4,I,1,28.8,C,1,31.9,C,1,NA,10,10,0.05,L,BEAL,"yellow birch",YB,Hardwood,1,1995
1_154,First,p006,t0140,YB,17.5,I,1,18,C,1,18.3,C,1,NA,10,10,0.05,L,BEAL,"yellow birch",YB,Hardwood,1,1995
1_155,First,p006,t0141,YB,25.9,S,1,29.1,I,1,29.7,I,1,NA,10,10,0.05,L,BEAL,"yellow birch",YB,Hardwood,1,1995
1_156,First,p006,t0142,YB,41.8,C,1,41.6,C,1,43.4,C,1,NA,10,10,0.05,L,BEAL,"yellow birch",YB,Hardwood,1,1995
1_157,First,p006,t0143,SM,12.3,S,1,12.3,NA,6,NA,NA,NA,NA,10,10,0.05,L,ACSA,"sugar maple",SM,Hardwood,1,1995
1_158,First,p006,t0144,YB,38.6,NA,5,38.4,NA,5,36.5,NA,5,NA,10,10,0.05,L,BEAL,"yellow birch",YB,Hardwood,1,NA
1_159,First,p006,t0145,YB,18.2,S,1,18.7,NA,5,18.5,NA,5,NA,10,10,0.05,L,BEAL,"yellow birch",YB,Hardwood,1,1995
1_160,First,p006,t0146,YB,42.6,C,1,44.1,C,1,46.6,D,1,NA,10,10,0.05,L,BEAL,"yellow birch",YB,Hardwood,1,1995
1_161,First,p006,t0147,YB,37.3,C,1,40.1,C,1,42,D,1,NA,10,10,0.05,L,BEAL,"yellow birch",YB,Hardwood,1,1995
1_162,First,p006,t0148,YB,29.4,I,1,29.7,C,1,31.2,C,1,NA,10,10,0.05,L,BEAL,"yellow birch",YB,Hardwood,1,1995
1_163,First,p006,t0149,YB,12.4,S,1,12.9,I,1,14.2,I,1,NA,10,10,0.05,L,BEAL,"yellow birch",YB,Hardwood,1,1995
1_164,First,p006,t0150,BF,11,S,1,12.3,S,1,13.6,S,1,NA,10,10,0.05,L,ABBA,"balsam fir",BF,Conifer,1,1995
1_165,First,p006,t0151,SM,17.4,NA,5,17.4,NA,6,NA,NA,NA,NA,10,10,0.05,L,ACSA,"sugar maple",SM,Hardwood,1,NA
1_166,First,p006,t0152,YB,45.5,C,1,46.5,C,1,47,C,2,NA,10,10,0.05,L,BEAL,"yellow birch",YB,Hardwood,1,1995
1_167,First,p006,t0153,YB,21.5,I,1,24.9,C,1,28.8,C,1,NA,10,10,0.05,L,BEAL,"yellow birch",YB,Hardwood,1,1995
1_168,Second,p006,t10076,AB,NA,NA,NA,11.5,S,1,13.6,I,1,3,10,10,0.05,L,FAGR,beech,AB,Hardwood,1,2005
1_169,Second,p006,t10077,RS,18.72581,NA,1,20.1,S,1,21.9,I,1,NA,10,10,0.05,L,PIRU,"red spruce",RS,Conifer,1,1995
1_170,Second,p006,t10078,AB,NA,NA,NA,10.9,S,1,11.9,S,1,1,10,10,0.05,L,FAGR,beech,AB,Hardwood,1,2005
1_171,Second,p006,t10079,AB,NA,NA,NA,11.2,S,1,11.9,S,2,2,10,10,0.05,L,FAGR,beech,AB,Hardwood,1,2005
1_172,Second,p006,t10080,AB,NA,NA,NA,10.1,S,1,10.5,S,1,2,10,10,0.05,L,FAGR,beech,AB,Hardwood,1,2005
1_173,Second,p006,t10081,SM,NA,NA,NA,10,S,1,10.2,S,1,NA,10,10,0.05,L,ACSA,"sugar maple",SM,Hardwood,1,2005
1_174,Second,p006,t10082,AB,NA,NA,NA,10.6,I,1,11.9,I,3,2,10,10,0.05,L,FAGR,beech,AB,Hardwood,1,2005
